"doc_id","text","album","year","songwriters","vocals","songwriter_Harrison","songwriter_Lennon","songwriter_McCartney","songwriter_Starr","vocals_Harrison","vocals_Lennon","vocals_McCartney","vocals_Starr","negative","positive","<NA>","sentiment"
"A Day in the Life","I read the news today oh, boy About a lucky man who made the grade And though the news was rather sad Well, I just had to laugh I saw the photograph He blew his mind out in a car He didn't notice that the lights had changed A crowd of people stood and stared They'd seen his face before Nobody was really sure if he was from the house of lords I saw a film today oh, boy The english army had just won the war A crowd of people turned away But I just had to look Having read the book I'd love to turn you on. Woke up, fell out of bed Dragged a comb across my head Found my way downstairs and drank a cup And looking up, I noticed I was late Found my coat and grabbed my hat Made the bus in seconds flat Found my way upstairs and had a smoke And somebody spoke and I went into a dream Ah I read the news today oh, boy Four thousand holes in blackburn, lancashire And though the holes were rather small They had to count them all Now they know how many holes it takes to fill the albert hall I'd love to turn you on","Sgt. Pepper's Lonely Hearts Club Band","1967","Lennon/McCartney","Lennon/McCartney",0,1,1,0,0,1,1,0,4,5,99,1
"A Hard Day's Night","It's been a hard day's night, and I've been working like a dog It's been a hard day's night, I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright You know I work all day to get you money to buy you things And it's worth it just to hear you say you're going to give me everything So why on earth should I moan, 'cause when I get you alone You know I feel ok When I'm home everything seems to be right When I'm home feeling you holding me tight, tight, yeah It's been a hard day's night, and I've been working like a dog It's been a hard day's night, I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright Owww! So why on earth should I moan, 'cause when I get you alone You know I feel lover well. When I'm home everything seems to be right When I'm home feeling you holding me tight, tight, yeah Oh, it's been a hard day's night, and I've been working like a dog It's been a hard day's night, I should be sleeping like a log But when I get home to you I find the things that you do Will make me feel alright You know I feel alright You know I feel alright","A Hard Day's Night","1964","Lennon/McCartney","Lennon/McCartney",0,1,1,0,0,1,1,0,8,12,97,4
"Across the Universe","Words are flowing out like endless rain into a paper cup, They slither while they pass, they slip away across the universe Pools of sorrow, waves of joy are drifting through my open mind, Possessing and caressing me. Jai guru deva om Nothing's gonna change my world, Nothing's gonna change my world, Nothing's gonna change my world, Nothing's gonna change my world. Images of broken light which dance before me like a million eyes, They call me on and on across the universe, Thoughts meander like a restless wind inside a letter box they Tumble blindly as they make their way Across the universe Jai guru deva om Nothing's gonna change my world, Nothing's gonna change my world, Nothing's gonna change my world, Nothing's gonna change my world. Sounds of laughter shades of light are ringing Through my open views inciting and inviting me Limitless undying love which shines around me like a Million suns, it calls me on and on Across the universe Jai guru deva om Nothing's gonna change my world, Nothing's gonna change my world, Nothing's gonna change my world, Nothing's gonna change my world. Jai guru deva Jai guru deva Jai guru deva","Let It Be","1968","Lennon","Lennon",0,1,0,0,0,1,0,0,4,6,122,2
"All I've Got to Do","Whenever I want you around, yeah. All I gotta do, Is call you on the phone, And you'll come running home, Yeah, that's all I gotta do. And when I, I want to kiss you, yeah. All I gotta do, Is whisper in your ear The words you long to hear, And I'll be kissin' you. Chorus: And the same goes for me, Whenever you want me at all. I'll be here, yes I will, whenever you call. You just gotta call on me, yeah, You just gotta call on me. And when I, I want to kiss you, yeah. All I gotta do, Is call you on the phone, And you'll come running home, Yeah, that's all I gotta do. [Chorus:]","With the Beatles","1963","Lennon","Lennon",0,1,0,0,0,1,0,0,0,0,49,0
"All My Loving","Close your eyes and I'll kiss you, Tomorrow I'll miss you; Remember I'll always be true. And then while I'm away, I'll write home ev'ry day, And I'll send all my loving to you. I'll pretend that I'm kissing The lips I am missing And hope that my dreams will come true. And then while I'm away, I'll write home ev'ry day, And I'll send all my loving to you. All my loving I will send to you. All my loving, darling I'll be true.","With the Beatles","1963","McCartney","McCartney",0,0,1,0,0,0,1,0,2,5,30,3
"All Together Now","One, two, three, four Can I have a little more? Five, six, seven eight nine ten I love you. A, B, C, D Can I bring my friend to tea? E, F, G H I J I love you. Sail the ship, Jump the tree Skip the rope, Look at me All together now... Black, white, green, red Can I take my friend to bed? Pink, brown, yellow orange blue I love you All together now... Sail the ship, Jump the tree Skip the rope, Look at me All together now...","Yellow Submarine","1967","Lennon/McCartney","Lennon/McCartney",0,1,1,0,0,1,1,0,0,3,49,3
"All You Need Is Love","Love, love, love. Love, love, love. Love, love, love. There's nothing you can do that can't be done. Nothing you can sing that can't be sung. Nothing you can say but you can learn how to play the game. It's easy. Nothing you can make that can't be made. No one you can save that can't be saved. Nothing you can do but you can learn how to be you in time. It's easy. All you need is love. All you need is love. All you need is love, love. Love is all you need. All you need is love. All you need is love. All you need is love, love. Love is all you need. Nothing you can know that isn't known. Nothing you can see that isn't shown. Nowhere you can be that isn't where you're meant to be. It's easy. All you need is love. All you need is love. All you need is love, love. Love is all you need. All you need is love (all together, now!) All you need is love. (everybody!) All you need is love, love. Love is all you need (love is all you need). Yee-hai! Oh yeah! She loves you, yeah yeah yeah. She loves you, yeah yeah yeah.","Magical Mystery Tour","1967","Lennon","Lennon",0,1,0,0,0,1,0,0,0,35,66,35
"And I Love Her","I give her all my love That's all I do And if you saw my love You'd love her too I love her She gives me ev'rything And tenderly The kiss my lover brings She brings to me And I love her A love like ours Could never die As long as I Have you near me Bright are the stars that shine Dark is the sky I know this love of mine Will never die And I love her Bright are the stars that shine Dark is the sky I know this love of mine Will never die And I love her","A Hard Day's Night","1964","Lennon/McCartney","McCartney",0,1,1,0,0,0,1,0,5,17,22,12
"And Your Bird Can Sing","You tell me that you've got everything you want And your bird can sing But you don't get me, you don't get me You say you've seen seven wonders and your bird is green But you can't see me, you can't see me When your prized possessions start to wear you down Look in my direction, I'll be round, I'll be round When your bird is broken will it bring you down You may be awoken, I'll be round, I'll be round You tell me that you've heard every sound there is And your bird can swing But you can't hear me, you can't hear me","Revolver","1966","Lennon/McCartney","Lennon",0,1,1,0,0,1,0,0,1,1,40,0
"Another Girl","For I have got another girl, Another girl. You're making me say that I've got Nobody but you. But as from today, well I've seen Somebody that's new. I ain't no fool an I don't take what I don't want For I have got another girl, Another girl. She's sweeter than all the girls and I've met quite a few. Nobody in all the world can Do what she can do. And so I'm telling you this time you better stop For I have got another girl, Another girl Who will love me to the end, Through thick and thin She will always be my friend. I don't wanna say that I've been Unhappy with you. But as from today well I've seen Somebody that's new. I ain't no fool an I don't take what I don't want For I have got another girl, Another girl, another girl","Help!","1965","McCartney","McCartney",0,0,1,0,0,0,1,0,3,4,60,1
